OBJECTID,NEW_KEY,LAKE_NAME,COUNTY,NOTE24,FMU,ORIGIN,LONG_DD,LAT_DD,X_Coord_MG,Y_Coord_MG,,,
85,21-418,Highbridge Lake,Delta,,LMN,1,-86.54204000000,46.11443000000,457954.35127000000,618207.71480000000,,,
86,21-425,Bog Lake,Delta,,LMN,1,-86.56288000000,46.12138000000,456349.92458000000,618990.46854000000,,,
87,21-427,"Twentythree, Lake",Delta,,LMN,1,-86.51760000000,46.11332000000,459842.36101000000,618071.76700000000,,,
88,21-429,Ganamush Lake,Delta,,LMN,1,-86.50667000000,46.10565000000,460681.23764000000,617213.70046000000,,,
89,21-435,Spring Lake,Delta,,LMN,1,-86.53871000000,46.09388000000,458196.51569000000,615922.18310000000,,,
90,21-447,Stevens Lake,Delta,,LMN,1,-86.57788000000,46.08138000000,455158.89413000000,614554.49449000000,,,
91,21-448,Little Stevens Lake,Delta,,LMN,1,-86.57288000000,46.07832000000,455543.04566000000,614212.17420000000,,,
92,21-453,Eva Lake,Delta,,LMN,1,-86.56510000000,46.08082000000,456146.41150000000,614485.65979000000,,,
93,21-454,Camp Fortyone Lake,Delta,,LMN,1,-86.53065000000,46.08026000000,458809.13333000000,614405.75613000000,,,
94,21-46,Halfmoon Lake,Delta,,LMN,1,-86.49843000000,45.75610000000,461076.39742000000,578373.72864000000,,,
95,21-462,Molly Lake,Delta,,LMN,1,-86.51149000000,46.07554000000,460287.74633000000,613871.46259000000,,,
96,21-465,Bear Lake,Delta,,LMN,1,-86.49843000000,46.07304000000,461295.57602000000,613587.32760000000,,,
97,21-467,Carr Lake,Delta,,LMN,1,-86.50593000000,46.07971000000,460720.29171000000,614331.60004000000,,,
98,21-431,Carr Pond (central),Delta,group of lakes,LMN,1,-86.52289000000,46.09484000000,459420.30222000000,616021.25610000000,,,
99,2-147,Phillip Pond,Alger,,LMN,1,-86.65621000000,46.31915000000,449319.48715000000,641020.07479000000,,,
100,21-470,Hidden Lake,Delta,,LMN,1,-86.63982000000,46.15193000000,450432.36184000000,622430.03487000000,,,
101,21-471,Connor Lake,Delta,,LMN,1,-86.65315000000,46.15610000000,449406.52681000000,622901.34599000000,,,
