UNIQUE_ID,NEW_KEY,IHDLKID
1344,,116543099
1433,,116543117
1430,,116543147
1477,,116543271
1711,,116543361
1789,,116543419
1828,,105231475
1634,,-99
1665,,-99
1666,,-99
1668,,-99
1673,,-99
1682,,-99
1692,,-99
1693,,-99
1698,,-99
1171,,116542875
1248,,116542915
1385,,116543073
1810,,116543525
1838,52-1793,105231479
1116,31-1040,117625607
1150,,-99
1157,,-99
1159,,-99
826,,-99
832,,-99
844,,-99
860,,-99
1148,,116542805
1271,,116542995
1342,,116543055
1441,,116543169
1054,,116542753
1040,,-99
1045,,-99
1047,,-99
1092,,-99
1103,,-99
1126,,-99
1131,,-99
1143,,-99
1163,,-99
1166,,-99
1168,,-99
1169,,116542777
1173,,-99
1179,,-99
1185,,-99
1188,,-99
1189,,-99
1190,,-99
1191,,-99
1194,,-99
1200,,-99
1096,,116542781
1258,,116542945
1350,,116542947
1265,,116542949
1540,,-99
1578,,-99
1610,,-99
1652,,116543249
1672,,116543429
1083,,117625603
1102,,-99
1109,,-99
1123,,-99
1523,,117625617
1172,,116542803
1339,,116543019
1411,,116543109
1437,,116543115
1414,,116543181
1544,,116543207
1780,,116543455
1782,,105231525
1202,,116542845
1237,,116542921
1438,,116543107
1358,,116543137
1623,31-910,116543223
1658,,-99
1531,,116543299
1650,,116543381
1779,,116543497
1778,,105231443
1527,,117625619
828,,-99
938,,-99
958,,-99
960,,-99
985,31-1030,116542705
1043,,116542749
1044,,116542769
1402,,116543015
1404,,116543061
1800,,105231453
1811,,105231467
1774,,105231515
1657,,117625633
1794,,-99
1807,,-99
1813,,-99
845,,116542655
881,,-99
1098,31-1055,116542727
1152,,116542877
1208,,116542903
1310,,116542935
1389,,116543035
1546,,116543323
1661,,116543367
1777,7-1100,105231517
1773,,105231523
1706,,117625655
1719,,-99
1766,,-99
963,,-99
