Water_Body_Key,Survey_Number,Collection_Date,Survey_Purpose,SP,LENGTH_IN,AGE,METHOD,Water_Body_Name,New_Key
12699,3408,6/25/02,Status & Trends,BLG,2,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.9,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.9,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.9,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.9,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.9,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.8,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.8,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,1.5,1,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.6,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.6,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.6,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.6,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.6,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.5,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.2,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3,2,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,2.7,2,,Thompson Lake,78-151
12699,3408,5/30/02,Status & Trends,BLG,5.1,3,,Thompson Lake,78-151
12699,3408,5/31/02,Status & Trends,BLG,5,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.1,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.7,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.8,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.1,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.8,3,,Thompson Lake,78-151
12699,3408,6/25/02,Status & Trends,BLG,3.9,3,,Thompson Lake,78-151
